메뉴별 매출현황,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
메뉴코드,바코드번호,메뉴명,분류명,거래건수,매출금액,할인금액,판매건수,실매출,부가세,순매출,객단가,판매수량,판매옵션수량,구성비(%)
B0000837,9555711900923 ,크리스피롤 12곡,젤리,9,22500,0,9,22500,2045,20455,2500,9,0,0.06%
B0000924,8809042194478 ,롱다리,젤리,4,22500,0,4,22500,2045,20455,4500,5,0,0.06%
B0000778,8809304881016 ,프레첼 갈릭버터맛,젤리,13,21900,0,13,21900,1989,19911,1369,16,0,0.06%
B0000775,8436556395932 ,트롤리 키스,젤리,12,21600,0,12,21600,1969,19631,1800,12,0,0.06%
B0000859,8801062009343 ,mini 초코칩쿠키,롯데과자,15,21600,0,15,21600,1962,19638,1200,18,0,0.06%
B0000901,8437000482093 ,트롤리 사우어 글로우웜즈 100g,젤리,12,21600,0,12,21600,1966,19634,1800,12,0,0.06%
B0000825,8801906163286 ,쌀떡볶이,젤리,36,21500,0,36,21500,1944,19556,500,43,0,0.06%
B0000697,8801206000397 ,파르페 쿠키&너츠카라멜,상품,10,21000,0,10,21000,1907,19093,1500,14,0,0.06%
B0000843,9002975319003 ,하리보 해피그레이프 100g,젤리,13,21000,0,13,21000,1904,19096,1500,14,0,0.06%
B0000872,8801117760106 ,포카칩 66g,젤리,13,21000,0,13,21000,1907,19093,1500,14,0,0.06%
B0000824,8809605750288 ,싱싱 피자타임,젤리,36,20800,0,36,20800,1886,18914,400,52,0,0.06%
B0000785,8809208062313 ,새콤짱 딸기,젤리,38,20500,0,38,20500,1851,18649,500,41,0,0.06%
B0000858,8801062009312 ,mini 야채크래커,롯데과자,14,20400,0,14,20400,1857,18543,1200,17,0,0.06%
B0000744,8990104119833 ,라면짱 30g,젤리,37,20000,0,37,20000,1813,18187,400,50,0,0.06%
B0000806,8801068374568 ,누네띠네,젤리,22,20000,0,22,20000,1824,18176,800,25,0,0.06%
B0000810,4902775018999 ,베이비스타,젤리,27,20000,0,27,20000,1808,18192,500,40,0,0.06%
B0000832,8801062877041 ,신묘한 찰옥수수 콘치즈,상품,18,20000,0,18,20000,1820,18180,1000,20,0,0.06%
B0000863,8801062879090 ,ABC초코쿠키 쿠키앤크림,롯데과자,19,20000,0,19,20000,1821,18179,1000,20,0,0.06%
B0000966,8801062874729 ,색고드름,상품,7,20000,0,7,20000,1819,18181,2000,10,0,0.06%
B0000917,8801206002612 ,홀리데이  코팅초코,상품,37,19600,0,37,19600,1783,17817,400,49,0,0.05%
B0000741,8809605750318 ,추억의 논두렁 45g,젤리,27,19500,0,27,19500,1770,17730,500,39,0,0.05%
B0000284,8801104304375 ,슈퍼콘 바닐라,상품,22,19200,0,22,19200,1750,17450,800,24,0,0.05%
B0000782,8802896004207 ,꾸이킹,젤리,16,19200,0,16,19200,1744,17456,1200,16,0,0.05%
B0000820,9556437006487 ,오키오 망고구미,젤리,13,19200,0,13,19200,1745,17455,1200,16,0,0.05%
B0000763,8803622101269 ,꽃보다오징어,젤리,8,18900,0,8,18900,1720,17180,2100,9,0,0.05%
B0000822,8809605750042 ,싱싱 자야,젤리,27,18500,0,27,18500,1679,16821,500,37,0,0.05%
B0000520,8801062892518 ,설레임 카카오쉐이크,상품,20,18400,0,20,18400,1674,16726,800,23,0,0.05%
B0000823,8801906166416 ,맛새우칩,젤리,22,18200,0,22,18200,1661,16539,700,26,0,0.05%
B0000849,8809146201362 ,뽀로로 요술반지캔디,젤리,21,18200,0,21,18200,1657,16543,700,26,0,0.05%
B0000497,8801062885008 ,가나파르페,상품,11,18000,0,11,18000,1632,16368,1500,12,0,0.05%
B0000583,8809713220673 ,1000 토마토마시판084053,상품,19,18000,0,19,18000,1632,16368,500,36,0,0.05%
B0000712,8801062521487 ,롯데샌드 화이트크림깜뜨,롯데과자,10,18000,0,10,18000,1641,16359,1500,12,0,0.05%
B0000740,8801062631094 ,빅 가나 마일드,롯데과자,6,18000,0,6,18000,1638,16362,3000,6,0,0.05%
B0000760,8437000482420 ,트롤리 바나나,젤리,12,18000,0,12,18000,1633,16367,1500,12,0,0.05%
B0000803,4712277822723 ,와퍼스틱 초코,젤리,12,18000,0,12,18000,1636,16364,1500,12,0,0.05%
